name,protein,fat,carbo,unit,gram,image_url,ancestry,kcal
穀類
きび(黍/キビ),18.02,2.89,124.27,1カップ,170.0,https://cdn.slism.jp/calorie/foodImages/101011.jpg,1,605
道明寺粉(どうみょうじこ),11.36,1.12,128.64,1カップ,160.0,https://cdn.slism.jp/calorie/foodImages/101121.jpg,1,595
米麹(米こうじ),11.60,3.40,118.40,1合(180cc),200.0,https://cdn.slism.jp/calorie/foodImages/101116.jpg,1,572
小麦胚芽(小麦はいが),41.60,15.08,62.79,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101070.jpg,1,554
米(お米/おこめ/白米),9.15,1.35,115.65,1合(180cc),150.0,https://cdn.slism.jp/calorie/foodImages/101083.jpg,1,534
コーンミール,11.54,5.56,100.64,1カップ,139.0,https://cdn.slism.jp/calorie/foodImages/101132.jpg,1,505
グルテン粉(小麦たんぱく/小麦蛋白),79.20,10.67,11.66,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101071.jpg,1,481
ひえ(ひえ精白粒/稗),12.61,4.81,94.12,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101139.jpg,1,477
押し麦(押麦/大麦),8.68,1.82,108.92,1カップ,140.0,https://cdn.slism.jp/calorie/foodImages/101006.jpg,1,476
あわ(アワ/粟),13.65,3.51,95.03,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101002.jpg,1,473
コーンフラワー(コーンミール),8.58,3.64,98.93,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101134.jpg,1,472
上新粉(上糝粉),8.06,1.17,102.05,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101114.jpg,1,471
コーングリッツ(ホミニー),10.66,1.30,99.32,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101133.jpg,1,462
もろこし(もろこし玄穀),13.39,6.11,92.43,1カップ,130.0,https://cdn.slism.jp/calorie/foodImages/101140.jpg,1,458
とうもろこし玄穀(とうもろこし穀物/トウモロコシの完熟種子),11.18,6.50,91.78,1合(180cc),130.0,https://cdn.slism.jp/calorie/foodImages/101131.jpg,1,455
白玉粉(しらたまこ),7.56,1.20,96.00,1カップ,120.0,https://cdn.slism.jp/calorie/foodImages/101120.jpg,1,443
さば味付け(味付けさばの缶詰),42.80,25.20,8.00,1缶,200.0,https://cdn.slism.jp/calorie/foodImages/nonImage.jpg,1,430
アルファ化米(乾飯),6.38,0.77,93.72,食分,110.0,https://cdn.slism.jp/calorie/foodImages/101110.jpg,1,426
薄力粉(小麦粉/薄力小麦粉),8.80,1.87,83.49,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101015.jpg,1,405
中力粉(中力小麦粉),9.90,1.98,82.28,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101018.jpg,1,405
強力粉(強力小麦粉),12.87,1.98,78.76,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101020.jpg,1,403
ホットケーキミックス(プレミックス粉),8.36,4.62,81.84,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101024.jpg,1,403
もろこし精白粒(もろこし粉末),10.45,2.86,81.51,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101141.jpg,1,400
全層粉(そば粉),13.20,3.41,76.56,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101122.jpg,1,397
二番粉(中層粉/そば粉),11.22,2.97,78.76,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101124.jpg,1,396
蕎麦粉(一番粉/内層粉/更科粉),6.60,1.76,85.36,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101123.jpg,1,395
三番粉(表層粉/そば粉),16.50,3.96,71.61,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101125.jpg,1,394
ライ麦粉(らいむぎ粉),9.35,1.76,83.38,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101143.jpg,1,386
天ぷら粉(てんぷら粉/プレミックス粉),8.25,1.76,83.71,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101025.jpg,1,384
さば水煮(水煮さばの缶詰/さば缶水煮/サバ缶水煮/鯖の水煮/さば水煮缶/さばみず),41.80,21.40,0.40,1缶,200.0,https://cdn.slism.jp/calorie/foodImages/nonImage.jpg,1,380
小麦(コムギ),11.66,3.41,79.42,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101012.jpg,1,371
ライ麦(ライムギ全粒粉),13.97,2.97,77.77,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101142.jpg,1,367
そば米(蕎麦米),9.60,2.50,73.70,1食分,100.0,https://cdn.slism.jp/calorie/foodImages/101126.jpg,1,364
全粒粉(ぜんりゅうふん),14.08,3.19,75.02,1カップ,110.0,https://cdn.slism.jp/calorie/foodImages/101023.jpg,1,361
大麦麺(大麦めん),12.48,1.56,63.18,1人前1束（茹で上がり時）,260.0,https://cdn.slism.jp/calorie/foodImages/101009.jpg,1,317
オートミール(えんばく/えん麦/燕麦),10.96,4.56,55.28,1カップ,80.0,https://cdn.slism.jp/calorie/foodImages/101004.jpg,1,304
蒸し中華めん(焼きそばの麺),7.95,2.55,57.60,一人前,150.0,https://cdn.slism.jp/calorie/foodImages/101049.jpg,1,297
ブルーベリーパイ(ブルーベリーのパイ),4.61,14.13,31.17,18cm　8等分　1個,122.3,https://cdn.slism.jp/calorie/foodImages/201278.jpg,1,274
麦焦がし(はったい粉/煎り麦/麦粉/香煎),8.75,3.50,53.97,1カップ,70.0,https://cdn.slism.jp/calorie/foodImages/101010.jpg,1,274
ピザクラスト(ピザ生地),9.10,3.00,51.10,1枚,100.0,https://cdn.slism.jp/calorie/foodImages/101076.jpg,1,268
ビーフン(ライスヌードル),3.50,0.80,39.95,1人前,50.0,https://cdn.slism.jp/calorie/foodImages/101115.jpg,1,189
